(41996,one-off)
(52012,daily,1 month (s))
(55576,yearly,7 year (s))
(58223,yearly,37 year (s))
(27955,yearly,3 year (s))
(37535,yearly,10 year (s))
(19329,monthly,4 year (s))
(12128,yearly,10 year (s))
(45348,monthly,3 year (s))
(39102,daily,1 month (s))
(6661,yearly,12 year (s))
(15355,one-off)
(32502,monthly,6 year (s))
(23573,monthly,6 year (s))
(36395,monthly,6 year (s))
(27789,monthly,1 year (s))
(44796,one-off)
(28732,monthly,4 year (s))
(57378,monthly,2 year (s))
(14754,one-off)
(30524,daily,1 month (s))
(16350,yearly,19 year (s))
(57229,one-off)
(10995,one-off)
(32234,yearly,26 year (s))
(44084,monthly,3 year (s))
(4635,yearly,15 year (s))
(10940,one-off)
(14138,one-off)
(19454,yearly,19 year (s))
(42480,yearly,14 year (s))
(9544,yearly,4 year (s))
(12725,monthly,1 year (s))
(55852,yearly,39 year (s))
(29239,one-off)
(28816,monthly,2 year (s))
(7880,monthly,4 month (s))
(17067,yearly,2 year (s))
(39932,daily,8day (s))
(37401,monthly,0 year (s))
(50912,one-off)
(10510,daily,22day (s))
(29944,one-off)
(50166,yearly,6 year (s))
(4343,yearly,24 year (s))
(48537,yearly,17 year (s))
(11492,yearly,22 year (s))
(51777,monthly,5 year (s))
(29319,monthly,5 year (s))
(36399,yearly,11 year (s))
(4409,yearly,5 year (s))
(53063,yearly,8 year (s))
(50442,daily,25day (s))
(44408,yearly,26 year (s))
(24075,daily,18day (s))
(47624,daily,1 month (s))
(22152,yearly,15 year (s))
(16520,monthly,1 year (s))
(45436,daily,9day (s))
(15933,daily,1 month (s))
(39769,monthly,4 year (s))
(43507,yearly,15 year (s))
(7845,daily,14day (s))
(20242,yearly,9 year (s))
(24094,monthly,9 month (s))
(18746,monthly,4 year (s))
(46306,daily,1 month (s))
(24132,daily,1 month (s))
(46837,yearly,1 year (s))
(17532,yearly,12 year (s))
(36827,yearly,5 year (s))
(13518,monthly,2 year (s))
(39678,yearly,3 year (s))
(13003,yearly,33 year (s))
(31355,monthly,4 year (s))
(27266,daily,12day (s))
(12764,yearly,17 year (s))
(16706,monthly,6 year (s))
(7223,monthly,7 year (s))
(49096,daily,1 month (s))
(47083,one-off)
(41819,one-off)
(42855,daily,4day (s))
(29959,one-off)
(54900,yearly,37 year (s))
(29512,yearly,13 year (s))
(4169,yearly,15 year (s))
(13480,daily,1 month (s))
(48937,monthly,5 year (s))
(23851,yearly,15 year (s))
(5600,monthly,3 year (s))
(40662,monthly,6 year (s))
(26161,monthly,5 year (s))
(55227,monthly,6 year (s))
(18890,yearly,16 year (s))
(41162,one-off)
(15138,monthly,6 year (s))
(40438,yearly,15 year (s))
(17531,yearly,27 year (s))
(20184,yearly,4 year (s))
(35124,monthly,5 month (s))
(37881,monthly,6 year (s))
(44993,daily,1 month (s))
(27265,yearly,5 year (s))
(7314,yearly,3 year (s))
(9695,yearly,39 year (s))
(16106,one-off)
(7437,yearly,1 year (s))
(4617,yearly,4 year (s))
(34112,yearly,34 year (s))
(25853,one-off)
(22468,yearly,25 year (s))
(6708,one-off)
(55708,daily,12day (s))
(20270,monthly,4 year (s))
(10166,yearly,25 year (s))
(29161,daily,0 month (s))
(47095,one-off)
(5698,yearly,31 year (s))
(8450,daily,8day (s))
(19411,monthly,7 year (s))
(7199,monthly,7 year (s))
(17712,one-off)
(15819,yearly,2 year (s))
(14214,monthly,4 year (s))
(20041,daily,1 month (s))
(54022,yearly,18 year (s))
(27692,monthly,3 year (s))
(32577,daily,1 month (s))
(23073,daily,15day (s))
(41089,monthly,1 year (s))
(37476,monthly,4 year (s))
(26628,one-off)
(11234,yearly,8 year (s))
(47762,monthly,6 year (s))
(19503,monthly,1 year (s))
(44554,yearly,6 year (s))
(16857,monthly,1 year (s))
(7322,daily,24day (s))
(48174,yearly,33 year (s))
(53656,yearly,30 year (s))
(19183,yearly,10 year (s))
(45583,daily,12day (s))
(14960,monthly,3 month (s))
(19021,daily,25day (s))
(55746,daily,2day (s))
(44222,monthly,7 year (s))
(53690,daily,1 month (s))
(44598,monthly,6 year (s))
(37802,monthly,3 month (s))
(46354,daily,1 month (s))
(47853,one-off)
(33086,monthly,7 year (s))
(21851,monthly,2 year (s))
(6099,monthly,4 year (s))
(20883,daily,7day (s))
(36821,one-off)
(57584,yearly,22 year (s))
(27940,daily,1 month (s))
(52833,daily,1 month (s))
(31517,yearly,28 year (s))
(44910,monthly,1 year (s))
(48016,yearly,6 year (s))
(51982,one-off)
(21586,yearly,28 year (s))
(57183,monthly,6 year (s))
(28285,monthly,5 month (s))
(18297,daily,1 month (s))
(48955,monthly,1 year (s))
(15808,monthly,6 year (s))
(23774,yearly,1 year (s))
(7738,monthly,4 month (s))
(53832,monthly,2 year (s))
(36561,monthly,6 year (s))
(48406,one-off)
(6828,yearly,3 year (s))
(46282,yearly,6 year (s))
(12050,yearly,15 year (s))
(53301,one-off)
(45942,yearly,4 year (s))
(12650,monthly,1 year (s))
(19254,daily,1 month (s))
(31732,yearly,36 year (s))
(18522,one-off)
(52055,yearly,45 year (s))
(53972,daily,25day (s))
(32160,daily,6day (s))
(14498,one-off)
(22582,one-off)
(52857,daily,1 month (s))
(42740,daily,1 month (s))
(29429,yearly,30 year (s))
(54776,yearly,26 year (s))
(22876,daily,11day (s))
(25542,daily,1 month (s))
(14710,one-off)
(12280,monthly,1 year (s))
(23716,yearly,1 year (s))
(30591,monthly,4 year (s))
(20896,yearly,22 year (s))
(20588,daily,1 month (s))
(47826,yearly,26 year (s))
(16478,daily,1 month (s))
(46168,yearly,11 year (s))
(22982,one-off)
(27848,monthly,6 year (s))
(24416,yearly,27 year (s))
(49972,yearly,17 year (s))
(28546,yearly,10 year (s))
(27040,daily,18day (s))
(36937,one-off)
(7252,daily,1 month (s))
(48527,yearly,17 year (s))
(22394,monthly,2 year (s))
(46040,yearly,28 year (s))
(6200,monthly,1 year (s))
(27597,monthly,2 year (s))
(15834,yearly,17 year (s))
(40126,daily,6day (s))
(36726,monthly,4 year (s))
(58352,monthly,4 year (s))
(39473,yearly,47 year (s))
(38038,daily,4day (s))
(54137,one-off)
(50955,monthly,2 year (s))
(23604,monthly,2 year (s))
(20448,monthly,7 year (s))
(21432,yearly,1 year (s))
(44058,one-off)
(6515,monthly,6 year (s))
(54660,yearly,3 year (s))
(55611,yearly,4 year (s))
(15891,daily,21day (s))
(53978,one-off)
(50903,yearly,20 year (s))
(36126,yearly,21 year (s))
(10457,daily,23day (s))
(7429,daily,1 month (s))
(26621,yearly,30 year (s))
(11057,yearly,5 year (s))
(20164,monthly,5 year (s))
(44596,daily,11day (s))
(45385,one-off)
(53123,one-off)
(37142,daily,9day (s))
(33973,one-off)
(49833,yearly,18 year (s))
(8318,monthly,4 year (s))
(6726,daily,1 month (s))
(5261,one-off)
(53057,monthly,4 year (s))
(46708,yearly,21 year (s))
(25639,yearly,26 year (s))
(8458,monthly,7 year (s))
(57849,yearly,21 year (s))
(28972,yearly,2 year (s))
(51145,daily,1 month (s))
(52197,monthly,5 month (s))
(3532,one-off)
(7712,monthly,6 year (s))
(38904,daily,1 month (s))
(9127,monthly,3 year (s))
(14928,daily,21day (s))
(35779,yearly,12 year (s))
(42966,one-off)
(25567,monthly,3 year (s))
(15755,monthly,5 year (s))
(28945,daily,1 month (s))
(26940,monthly,3 year (s))
(32895,daily,0 month (s))
(52129,monthly,6 year (s))
(18097,yearly,19 year (s))
(53456,daily,0 month (s))
(13169,yearly,4 year (s))
(9102,monthly,1 year (s))
(33213,monthly,0 year (s))
(22061,yearly,5 year (s))
(52533,yearly,2 year (s))
(44161,yearly,9 year (s))
(42798,yearly,18 year (s))
(34801,monthly,7 year (s))
(11861,monthly,3 year (s))
(13813,monthly,7 year (s))
(13301,monthly,3 year (s))
(40511,monthly,3 month (s))
(50054,yearly,1 year (s))
(37680,yearly,6 year (s))
(46644,monthly,3 year (s))
(48530,daily,1 month (s))
(23609,monthly,5 year (s))
(19703,daily,1 month (s))
(41776,monthly,2 year (s))
(3916,monthly,7 month (s))
(16431,daily,1 month (s))
(21551,yearly,6 year (s))
(37382,daily,1 month (s))
(45552,yearly,8 year (s))
(24897,yearly,29 year (s))
(19107,one-off)
(13851,one-off)
(30297,monthly,4 year (s))
(24625,daily,1 month (s))
(40429,yearly,14 year (s))
(32031,daily,18day (s))
(58309,monthly,4 year (s))
(40583,monthly,4 year (s))
(7163,one-off)
(38621,monthly,6 year (s))
(33342,yearly,19 year (s))
(41429,yearly,17 year (s))
(55972,one-off)
(10155,daily,1 month (s))
(42410,daily,1 month (s))
(15651,one-off)
(29485,daily,1 month (s))
(54948,yearly,18 year (s))
(32132,monthly,0 year (s))
(19223,yearly,20 year (s))
(55921,monthly,6 year (s))
(36082,yearly,20 year (s))
(53742,yearly,17 year (s))
(28493,one-off)
(20881,yearly,14 year (s))
(46543,daily,1 month (s))
(23038,one-off)
(52014,monthly,2 year (s))
(13644,one-off)
(10336,monthly,7 year (s))
(40615,yearly,20 year (s))
(23108,daily,25day (s))
(17123,one-off)
(56777,monthly,4 year (s))
(25402,one-off)
(49451,daily,1 month (s))
(41893,yearly,36 year (s))
(26218,yearly,13 year (s))
(53139,yearly,3 year (s))
(45224,monthly,3 year (s))
(50676,yearly,12 year (s))
(21224,yearly,19 year (s))
(8077,yearly,24 year (s))
(42065,one-off)
(9349,daily,3day (s))
(6959,daily,23day (s))
(30575,daily,1 month (s))
(39570,yearly,28 year (s))
(53835,daily,8day (s))
(4922,yearly,13 year (s))
(17428,yearly,20 year (s))
(3717,monthly,3 month (s))
(56079,monthly,3 year (s))
(14099,daily,1 month (s))
(56499,yearly,23 year (s))
(5735,monthly,4 year (s))
(6470,monthly,3 year (s))
(10506,yearly,3 year (s))
(29585,one-off)
(20262,yearly,18 year (s))
(17395,monthly,3 year (s))
(49434,daily,1 month (s))
(50880,yearly,31 year (s))
(5689,monthly,3 year (s))
(29797,yearly,7 year (s))
(9810,monthly,3 year (s))
(3251,one-off)
(37782,monthly,8 month (s))
(4805,one-off)
(17250,one-off)
(17565,yearly,4 year (s))
(31940,yearly,14 year (s))
(11631,daily,18day (s))
(17568,yearly,38 year (s))
(57669,yearly,30 year (s))
(36452,daily,15day (s))
(22058,yearly,13 year (s))
(30730,monthly,6 year (s))
(51730,one-off)
(13922,one-off)
(53870,daily,0 month (s))
(38166,one-off)
(28911,monthly,6 year (s))
(25284,daily,24day (s))
(35774,yearly,5 year (s))
(8421,monthly,6 year (s))
(50873,one-off)
(24473,yearly,12 year (s))
(56445,yearly,37 year (s))
(25237,monthly,3 year (s))
(52867,one-off)
(30161,yearly,1 year (s))
(55589,yearly,5 year (s))
(57598,yearly,13 year (s))
(22883,monthly,4 year (s))
(15470,one-off)
(15624,yearly,39 year (s))
(26343,yearly,24 year (s))
(6201,yearly,3 year (s))
(56374,daily,1 month (s))
(42587,daily,26day (s))
(41476,monthly,2 year (s))
(17497,monthly,6 year (s))
(16549,yearly,4 year (s))
(51353,monthly,1 year (s))
(26744,monthly,7 year (s))
(57242,monthly,6 month (s))
(23815,one-off)
(48976,yearly,28 year (s))
(27136,daily,23day (s))
(31187,monthly,2 year (s))
(4816,monthly,3 year (s))
(28061,yearly,21 year (s))
(3294,yearly,17 year (s))
(57650,yearly,43 year (s))
(51398,monthly,2 year (s))
(50265,yearly,7 year (s))
(51571,monthly,6 year (s))
(27996,yearly,6 year (s))
(31736,monthly,1 year (s))
(17182,daily,16day (s))
(35903,yearly,28 year (s))
(8844,monthly,5 year (s))
(52842,daily,23day (s))
(27504,one-off)
(24196,monthly,1 year (s))
(31837,monthly,2 year (s))
(41409,daily,18day (s))
(9404,monthly,3 year (s))
(5037,yearly,34 year (s))
(52075,monthly,8 month (s))
(26671,yearly,13 year (s))
(30048,yearly,9 year (s))
(17774,monthly,2 year (s))
(42150,monthly,7 year (s))
(33192,monthly,3 year (s))
(38100,daily,1 month (s))
(42796,daily,1 month (s))
(19320,monthly,6 year (s))
(48187,monthly,1 year (s))
(8221,monthly,3 year (s))
(38549,one-off)
(56656,yearly,17 year (s))
(29734,monthly,1 year (s))
(44552,one-off)
(6978,yearly,23 year (s))
(56594,monthly,1 year (s))
(47587,yearly,25 year (s))
(46283,yearly,16 year (s))
(55407,monthly,7 year (s))
(48427,yearly,7 year (s))
(5629,monthly,3 year (s))
(53912,one-off)
(32926,yearly,25 year (s))
(45716,yearly,5 year (s))
(23471,yearly,23 year (s))
(8788,one-off)
(30340,daily,1 month (s))
(22358,yearly,6 month (s))
(20763,one-off)
(41749,daily,1 month (s))
(3822,daily,4day (s))
(51908,one-off)
(47294,monthly,1 year (s))
(38903,monthly,5 year (s))
(24096,yearly,18 year (s))
(48334,yearly,7 year (s))
(57456,yearly,32 year (s))
(12233,daily,1 month (s))
(35046,daily,7day (s))
(16731,yearly,6 year (s))
(16783,yearly,5 year (s))
(9587,one-off)
(50771,monthly,2 year (s))
(53902,monthly,5 month (s))
(22447,one-off)
(56549,one-off)
(34535,yearly,16 year (s))
(45462,daily,1 month (s))
(53963,daily,1 month (s))
(48721,yearly,23 year (s))
(34839,monthly,9 month (s))
(48001,monthly,7 year (s))
(46814,monthly,3 year (s))
(50892,yearly,20 year (s))
(29664,yearly,26 year (s))
(15753,daily,1 month (s))
(48171,yearly,9 year (s))
(20768,one-off)
(5765,monthly,4 year (s))
(49671,yearly,9 year (s))
(56309,daily,0 month (s))
(17920,yearly,7 year (s))
(57433,daily,0 month (s))
(54799,monthly,3 year (s))
(56520,monthly,2 year (s))
(30502,one-off)
(44741,yearly,25 year (s))
(18648,yearly,9 year (s))
(16363,yearly,8 year (s))
(57474,monthly,7 year (s))
(6454,yearly,16 year (s))
(5734,one-off)
(57621,one-off)
(56817,monthly,2 year (s))
(55131,yearly,15 year (s))
(5147,one-off)
(8354,monthly,7 year (s))
(15467,yearly,16 year (s))
(31250,yearly,16 year (s))
(12947,yearly,5 year (s))
(32276,yearly,21 year (s))
(38228,monthly,7 year (s))
(48077,monthly,3 year (s))
(8040,yearly,6 year (s))
(47064,daily,1 month (s))
(36516,yearly,11 year (s))
(49487,yearly,6 year (s))
(7157,monthly,6 year (s))
(50061,yearly,6 year (s))
(54072,monthly,8 month (s))
(42263,one-off)
(19027,monthly,4 year (s))
(32788,monthly,6 year (s))
(10190,one-off)
(5584,monthly,5 year (s))
(18049,yearly,18 year (s))
(53676,monthly,3 year (s))
(20260,monthly,5 year (s))
(54348,yearly,4 year (s))
(15369,one-off)
(43751,yearly,9 year (s))
(37360,daily,1 month (s))
(18893,yearly,24 year (s))
(26473,yearly,42 year (s))
(30278,yearly,21 year (s))
(9653,monthly,4 year (s))
(30847,daily,1 month (s))
(56125,yearly,28 year (s))
(4839,yearly,22 year (s))
(21824,one-off)
(29355,daily,0 month (s))
(10692,one-off)
(33298,yearly,27 year (s))
(31813,daily,1 month (s))
(42999,monthly,3 year (s))
(29420,yearly,1 year (s))
(9879,one-off)
(10639,daily,16day (s))
(57181,one-off)
(24122,yearly,41 year (s))
(3287,yearly,4 year (s))
(20133,monthly,5 year (s))
(12572,daily,5day (s))
(12358,daily,1 month (s))
(46220,monthly,5 year (s))
(3590,monthly,1 year (s))
(37794,one-off)
(42759,daily,1 month (s))
(26547,monthly,5 year (s))
(25070,monthly,3 year (s))
(14600,monthly,5 year (s))
(52505,yearly,12 year (s))
(27369,one-off)
(25513,daily,1 month (s))
(19584,monthly,4 year (s))
(30880,yearly,6 year (s))
(38510,one-off)
(20073,yearly,8 year (s))
(23581,monthly,1 year (s))
(25062,daily,1 month (s))
(32420,daily,0 month (s))
(42944,yearly,6 year (s))
(25328,yearly,40 year (s))
(40646,daily,1 month (s))
(13736,one-off)
(46024,yearly,8 year (s))
(11555,monthly,7 year (s))
(30831,yearly,17 year (s))
(40595,yearly,21 year (s))
(30670,monthly,1 year (s))
(25528,one-off)
(32285,one-off)
(26958,yearly,19 year (s))
(11082,daily,1 month (s))
(41899,one-off)
(58250,daily,3day (s))
(50373,monthly,1 year (s))
(6597,daily,17day (s))
(35815,monthly,5 year (s))
(29183,one-off)
(53540,monthly,2 year (s))
(36592,monthly,5 year (s))
(23925,monthly,3 year (s))
(5092,monthly,4 year (s))
(47000,monthly,6 year (s))
(41102,daily,8day (s))
(38083,yearly,4 year (s))
(21415,one-off)
(47934,monthly,7 year (s))
(15796,monthly,1 year (s))
(50259,monthly,1 year (s))
(21930,monthly,2 year (s))
(16121,monthly,4 year (s))
(25752,monthly,3 year (s))
(44521,monthly,5 year (s))
(37276,monthly,3 year (s))
(53806,daily,1 month (s))
(12949,daily,1 month (s))
(31277,one-off)
(56285,yearly,21 year (s))
(47168,yearly,5 year (s))
(5800,monthly,3 year (s))
(44371,yearly,3 year (s))
(49967,monthly,1 year (s))
(9508,monthly,3 year (s))
(4728,one-off)
(27487,yearly,15 year (s))
(15113,monthly,1 year (s))
(3544,monthly,2 year (s))
(44958,monthly,9 month (s))
(35263,yearly,11 year (s))
(25024,daily,1 month (s))
(44452,yearly,23 year (s))
(28436,yearly,5 year (s))
(14449,yearly,26 year (s))
(45304,one-off)
(57407,yearly,12 year (s))
(14064,yearly,12 year (s))
(31035,yearly,15 year (s))
(55058,monthly,5 year (s))
(10735,monthly,3 year (s))
(35064,daily,1 month (s))
(21751,monthly,6 year (s))
(17374,monthly,5 year (s))
(20966,yearly,3 year (s))
(17766,daily,6day (s))
(16316,monthly,2 year (s))
(48319,yearly,5 year (s))
(38469,monthly,1 year (s))
(8263,daily,1 month (s))
(19441,one-off)
(43894,monthly,5 year (s))
(30992,monthly,2 year (s))
(25721,one-off)
(27907,monthly,5 year (s))
(57017,monthly,2 year (s))
(36711,yearly,8 year (s))
(39053,yearly,32 year (s))
(23023,one-off)
(55431,monthly,2 year (s))
(14385,yearly,23 year (s))
(50589,one-off)
(23496,one-off)
(11920,yearly,25 year (s))
(47914,yearly,2 year (s))
(13815,monthly,3 year (s))
(33876,daily,1 month (s))
(51709,one-off)
(26384,yearly,25 year (s))
(46299,yearly,7 year (s))
(55743,one-off)
(26111,one-off)
(49165,one-off)
(56746,monthly,6 month (s))
(56028,monthly,1 year (s))
(39880,yearly,6 year (s))
(7671,one-off)
(4494,daily,1 month (s))
(36759,monthly,6 year (s))
(45669,daily,14day (s))
(13291,yearly,10 year (s))
(14663,one-off)
(7182,yearly,20 year (s))
(50375,one-off)
(38066,yearly,4 year (s))
(17559,monthly,6 year (s))
(37561,daily,25day (s))
(23599,one-off)
(51311,one-off)
(47565,monthly,6 year (s))
(48019,daily,1 month (s))
(44600,yearly,8 month (s))
(18702,monthly,7 month (s))
(32495,monthly,5 year (s))
(46684,monthly,6 year (s))
(23338,yearly,5 year (s))
(42663,yearly,20 year (s))
(31656,daily,13day (s))
(24514,yearly,42 year (s))
(25152,daily,0 month (s))
(53409,yearly,25 year (s))
(52711,yearly,3 year (s))
(53953,yearly,12 year (s))
(39797,yearly,26 year (s))
(15760,one-off)
(32166,one-off)
(9042,yearly,2 year (s))
(20061,yearly,5 year (s))
(54450,daily,12day (s))
(32117,one-off)
(17139,one-off)
(31519,one-off)
(8714,one-off)
(29968,yearly,32 year (s))
(54733,yearly,32 year (s))
(52686,one-off)
(35585,monthly,6 year (s))
(14951,yearly,13 year (s))
(5939,daily,5day (s))
(57439,daily,5day (s))
(43928,yearly,18 year (s))
(45762,monthly,2 year (s))
(11769,one-off)
(4239,monthly,2 year (s))
(9231,monthly,3 year (s))
(40565,monthly,4 year (s))
(12361,monthly,6 year (s))
(25996,monthly,3 year (s))
(53308,yearly,12 year (s))
(21327,one-off)
(34811,daily,1 month (s))
(56589,monthly,2 year (s))
(40220,yearly,20 year (s))
(13604,daily,1 month (s))
(27275,one-off)
(33415,monthly,1 year (s))
(57356,daily,3day (s))
(23060,yearly,4 year (s))
(40445,yearly,8 year (s))
(12995,yearly,30 year (s))
(8941,one-off)
(44433,yearly,25 year (s))
(18662,daily,1 month (s))
(4197,one-off)
(5586,yearly,27 year (s))
(38870,daily,13day (s))
(30084,monthly,1 year (s))
(4056,yearly,4 year (s))
(18044,daily,17day (s))
(11221,yearly,31 year (s))
(14280,yearly,26 year (s))
(18684,one-off)
(42405,one-off)
(26163,yearly,7 year (s))
(18738,yearly,14 year (s))
(44184,daily,21day (s))
(12787,monthly,3 year (s))
(50289,monthly,7 year (s))
(20913,monthly,9 month (s))
(41609,monthly,1 year (s))
(19620,monthly,4 year (s))
(58018,yearly,4 year (s))
(13533,monthly,5 month (s))
(4430,yearly,2 year (s))
(41655,yearly,3 year (s))
(9888,one-off)
(42412,monthly,6 year (s))
(29075,daily,5day (s))
(34124,monthly,7 year (s))
(56484,yearly,9 year (s))
(13640,yearly,28 year (s))
(28929,yearly,25 year (s))
(42953,yearly,6 year (s))
(37211,yearly,18 year (s))
(35174,yearly,17 year (s))
(52461,daily,3day (s))
(39503,daily,1 month (s))
(15806,yearly,10 year (s))
(58291,yearly,5 year (s))
(12556,one-off)
(7512,daily,0 month (s))
(24510,one-off)
(30456,monthly,5 year (s))
(45681,yearly,24 year (s))
(53655,yearly,29 year (s))
(26752,yearly,38 year (s))
(36476,yearly,11 year (s))
(52935,yearly,17 year (s))
(16035,one-off)
(12783,monthly,4 year (s))
(8719,monthly,3 year (s))
(8472,one-off)
(22680,daily,9day (s))
(57047,daily,3day (s))
(13761,yearly,24 year (s))
(41345,one-off)
(4701,daily,26day (s))
(7620,one-off)
(51267,yearly,11 year (s))
(52666,yearly,15 year (s))
(27578,yearly,33 year (s))
(46190,monthly,4 year (s))
(4741,daily,22day (s))
(28251,one-off)
(49987,yearly,15 year (s))
(14907,daily,14day (s))
(49786,yearly,46 year (s))
(19161,monthly,1 year (s))
(47891,one-off)
(47076,daily,1 month (s))
(44970,yearly,19 year (s))
(21302,yearly,5 year (s))
(21401,yearly,11 year (s))
(17815,yearly,10 year (s))
(54031,monthly,4 year (s))
(4896,yearly,6 year (s))
(4663,daily,0 month (s))
(8101,monthly,5 year (s))
(21208,yearly,3 year (s))
(38552,yearly,17 year (s))
(6578,one-off)
(5663,daily,19day (s))
(44795,one-off)
(13245,yearly,5 year (s))
(27705,one-off)
(49636,one-off)
(49675,yearly,3 month (s))
(51515,monthly,2 year (s))
(8608,daily,1 month (s))
(38298,daily,1 month (s))
(42496,monthly,5 year (s))
(30005,yearly,14 year (s))
(58299,monthly,8 month (s))
(35237,yearly,23 year (s))
(49295,monthly,2 year (s))
(57023,daily,1 month (s))
(26396,daily,1 month (s))
(24624,yearly,9 year (s))
(40028,one-off)
(46541,monthly,2 year (s))
(13255,yearly,9 year (s))
(52801,monthly,6 year (s))
(50408,monthly,7 year (s))
(20144,yearly,15 year (s))
(35378,yearly,3 year (s))
(19313,yearly,5 year (s))
(13360,monthly,5 year (s))
(4393,yearly,23 year (s))
(25139,monthly,5 year (s))
(53130,monthly,3 year (s))
(7492,yearly,12 year (s))
(41244,monthly,1 year (s))
(34909,monthly,4 year (s))
(44797,monthly,1 year (s))
(54014,monthly,4 year (s))
(8076,yearly,8 year (s))
(23801,yearly,16 year (s))
(36492,yearly,8 month (s))
(39636,yearly,12 year (s))
(4541,monthly,3 year (s))
(57664,daily,1 month (s))
(6734,monthly,7 year (s))
(56468,monthly,5 year (s))
(39819,yearly,15 year (s))
(54241,monthly,5 month (s))
(38636,daily,1 month (s))
(27113,one-off)
(11103,yearly,24 year (s))
(15843,one-off)
(25993,monthly,3 year (s))
(28448,one-off)
(54826,yearly,32 year (s))
(24668,yearly,31 year (s))
(8939,monthly,7 year (s))
(11195,daily,1 month (s))
(45538,yearly,4 year (s))
(47917,daily,1 month (s))
(55502,daily,13day (s))
(52345,yearly,6 year (s))
(47032,yearly,19 year (s))
(43077,daily,11day (s))
(21019,one-off)
(18026,daily,1 month (s))
(54034,daily,21day (s))
(43838,yearly,29 year (s))
(24319,one-off)
(19135,one-off)
(30285,monthly,1 year (s))
(31751,monthly,1 year (s))
(34940,daily,1 month (s))
(47520,daily,23day (s))
(17151,yearly,22 year (s))
(10741,daily,1 month (s))
(24076,yearly,3 year (s))
(53183,yearly,25 year (s))
(35987,monthly,0 year (s))
(15978,yearly,21 year (s))
(5362,daily,6day (s))
(26978,yearly,6 year (s))
(40471,yearly,7 year (s))
(39908,yearly,12 year (s))
(57572,one-off)
(7338,monthly,6 year (s))
(49159,yearly,43 year (s))
(38605,monthly,5 year (s))
(5992,yearly,8 year (s))
(39283,one-off)
(21414,one-off)
(25968,yearly,6 year (s))
(16296,monthly,6 year (s))
(50724,daily,1 month (s))
(19949,yearly,3 year (s))
(33478,daily,24day (s))
(25697,yearly,4 year (s))
(48206,one-off)
(7603,yearly,13 year (s))
(39093,one-off)
(12433,daily,1 month (s))
(35514,one-off)
(50123,daily,24day (s))
(42239,one-off)
(44400,daily,1 month (s))
(48284,monthly,3 year (s))
(11392,monthly,2 year (s))
(32892,yearly,31 year (s))
(45703,yearly,3 year (s))
(44814,monthly,6 year (s))
(44056,one-off)
(27689,yearly,31 year (s))
(38026,daily,17day (s))
(13166,yearly,7 year (s))
(45725,one-off)
(10453,yearly,10 year (s))
(7941,monthly,3 year (s))
(35373,yearly,3 year (s))
(47468,monthly,6 year (s))
(34163,daily,1 month (s))
(42560,one-off)
(44830,yearly,12 year (s))
(38799,one-off)
(23196,monthly,3 year (s))
(14889,yearly,18 year (s))
(31698,one-off)
(28808,daily,16day (s))
(11810,daily,12day (s))
(45528,yearly,20 year (s))
(36747,daily,15day (s))
(15451,yearly,26 year (s))
(12223,yearly,13 year (s))
(36022,monthly,7 year (s))
(21369,daily,0 month (s))
(47341,daily,1 month (s))
(12901,yearly,15 year (s))
(14788,monthly,3 year (s))
(57414,monthly,5 year (s))
(31239,yearly,10 year (s))
(43934,monthly,3 year (s))
(29848,monthly,5 year (s))
(54505,monthly,2 year (s))
(42854,one-off)
(9902,daily,1 month (s))
(11153,monthly,3 year (s))
(45179,monthly,1 year (s))
(6364,yearly,15 year (s))
(47945,monthly,7 year (s))
(51085,monthly,2 year (s))
(28386,monthly,5 year (s))
(29838,one-off)
(5683,yearly,9 year (s))
(39220,one-off)
(9528,one-off)
(10320,monthly,5 year (s))
(57708,yearly,7 year (s))
(22355,yearly,1 year (s))
(32148,monthly,2 year (s))
(32850,yearly,25 year (s))
(38709,yearly,24 year (s))
(15527,one-off)
(22284,yearly,16 year (s))
(25299,daily,1 month (s))
(44054,yearly,14 year (s))
(40485,one-off)
(31886,monthly,3 year (s))
(24876,yearly,4 year (s))
(38668,daily,1 month (s))
(33483,one-off)
(29722,yearly,9 year (s))
(11259,yearly,15 year (s))
(44453,daily,15day (s))
(15952,yearly,13 year (s))
(13422,one-off)
(39582,daily,20day (s))
(34468,yearly,30 year (s))
(34373,one-off)
(22855,monthly,3 year (s))
(23674,daily,1 month (s))
(47816,yearly,9 year (s))
(29068,yearly,8 year (s))
(39147,monthly,0 year (s))
(54438,daily,1 month (s))
(12984,daily,9day (s))
(43790,yearly,18 year (s))
(10664,yearly,12 year (s))
(33295,daily,0 month (s))
(8272,yearly,4 year (s))
(19356,monthly,6 year (s))
(29900,one-off)
(27878,monthly,1 year (s))
(29494,monthly,4 year (s))
(25244,daily,1 month (s))
(53297,one-off)
(55567,monthly,2 year (s))
(57361,yearly,17 year (s))
(43098,yearly,26 year (s))
(43621,daily,5day (s))
(5211,yearly,3 year (s))
(42659,yearly,11 year (s))
(6964,one-off)
(29841,monthly,4 year (s))
(50281,daily,1 month (s))
(43271,one-off)
(13831,one-off)
(32142,yearly,13 year (s))
(39249,yearly,8 year (s))
(54930,daily,0 month (s))
(23070,daily,26day (s))
(23090,yearly,32 year (s))
(16930,monthly,2 year (s))
(33321,yearly,18 year (s))
(42143,yearly,28 year (s))
(9625,yearly,1 year (s))
